Customer	City	Channel	Segment	Urbanicity	Traffic	Traffic Index	Equipment (Y/N)	# of doors	Sales 2025 CS
10091	яберх бкюя	Hotels	Seasonal Low/Mid Traffic	4	14868,91	Medium	Yes	2	92
10092	опхлнпяйн	Hotels	Residential	3	17757	Medium	Yes	2	50
10093	йхрем	Hotels	Seasonal Low/Mid Traffic	3	12779,91	Medium	Yes	1	0
10094	яберх бкюя	Cafe	Seasonal Low/Mid Traffic	4	18255,46	Medium	Yes	1,3	92
10095	пюбдю	Qsr	Seasonal Low/Mid Traffic	4	10561,41	Medium	Yes	2	0
10096	яберх бкюя	Hotels	Seasonal Low/Mid Traffic	3	12979	Medium	No	0	0
10097	яхмелнпеж	Hotels	Rural Affordable	6	4384,18	Low	Yes	2,7	18,17
10098	янгнонк	Hotels	Residential	4	28627,76	High	Yes	1,7	0
10099	янгнонк	Bar	Residential	4	28627,76	High	Yes	3,2	1528
10100	якзмвеб апъц	Hotels	Seasonal High Traffic	2	20929,76	Medium	Yes	3,4	380
10101	юяоюпсунбн	Hotels	Rural Affordable	7	392,26	Low	Yes	1	0
10102	жюпебн	Hotels	Seasonal Low/Mid Traffic	10	3538,83	Low	No	0	0
10103	йхрем	FSR	Seasonal Low/Mid Traffic	3	17437,47	Medium	Yes	1	138
10104	жюпебн	FSR	Residential	5	3383,3	Low	Yes	2	200
10105	янгнонк	Hotels	Residential	4	28627,76	High	Yes	2	0
10106	янгнонк	Qsr	Residential	4	32781,64	High	No	0	0
10107	йхрем	Hotels	Seasonal Low/Mid Traffic	3	12632,32	Medium	Yes	3	0
10108	опхлнпяйн	FSR	Residential	3	25458,58	Medium	Yes	4,3	215
10109	йхрем	Hotels	Seasonal Low/Mid Traffic	3	7027	Low	Yes	11,3	674
10110	кнгемеж	FSR	Seasonal Low/Mid Traffic	7	12693,25	Medium	Yes	5	0
10111	янгнонк	Hotels	Residential	4	28627,76	High	Yes	1	0
10112	пюбдю	Bar	Seasonal Low/Mid Traffic	4	12215,11	Medium	Yes	3	159
10113	якзмвеб апъц	Hotels	Seasonal High Traffic	2	20330,08	Medium	Yes	0,3	0
10114	янгнонк	Hotels	Residential	4	28627,76	High	Yes	1	0
10115	янгнонк	Hotels	Residential	4	28627,76	High	Yes	1	0
10116	йхрем	Hotels	Seasonal Low/Mid Traffic	3	14396,65	Medium	Yes	3,8	320
10117	вепмнлнпеж	Hotels	Residential	5	17557,47	Medium	Yes	1	0
10118	якзмвеб апъц	FSR	Seasonal High Traffic	2	26348,07	High	Yes	1	0
10119	янгнонк	Hotels	Residential	4	28627,76	High	Yes	1	0
10120	опхлнпяйн	Hotels	Residential	3	11520,14	Medium	Yes	1	21
10121	якзмвеб апъц	Hotels	Seasonal High Traffic	2	30588,58	High	Yes	2,3	0
10122	якзмвеб апъц	Cafe	Residential	4	29667,33	High	Yes	2	0
10123	меяеазп	Hotels	Seasonal Low/Mid Traffic	4	11133,09	Medium	Yes	1	34
10124	онлнпхе	Hotels	Residential	5	21455,53	Medium	No	0	0
10125	опхлнпяйн	Hotels	Residential	3	18682,05	Medium	Yes	2	0
10126	янгнонк	Hotels	Seasonal High Traffic	4	28627,76	High	Yes	9,3	786
10127	опхлнпяйн	Hotels	Residential	3	17660,96	Medium	Yes	1	0
10128	якзмвеб апъц	Hotels	Seasonal High Traffic	1	36293,54	High	Yes	1	19
10129	опхлнпяйн	Hotels	Residential	3	18682,05	Medium	Yes	3	0
10130	кнгемеж	FSR	Residential	3	24529,16	Medium	Yes	1,5	363
10131	кнгемеж	Hotels	Seasonal Low/Mid Traffic	7	12982,46	Medium	Yes	1	0
10132	йхрем	Hotels	Seasonal Low/Mid Traffic	3	7485,75	Low	Yes	1	208
10133	тюйхъ	Cafe	Rural Affordable	9	116,87	Low	Yes	1	0
10134	бюпбюпю	Hotels	Residential	9	6409,11	Low	Yes	1,5	171
10135	кнгемеж	FSR	Seasonal Low/Mid Traffic	7	12865,68	Medium	Yes	2,5	158,98
10136	ьйнпохкнбжх	Hotels	Seasonal Low/Mid Traffic	7	524,27	Low	Yes	1	26
10137	онлнпхе	FSR	Residential	5	18148,67	Medium	Yes	3	623
10138	пюбдю	Hotels	Seasonal Low/Mid Traffic	4	12016,96	Medium	Yes	1	0
10139	йхрем	Bar	Seasonal Low/Mid Traffic	3	9454,71	Low	Yes	1	0
10140	янгнонк	Hotels	Residential	4	28627,76	High	Yes	0,6	0
10141	йньюпхжю	Hotels	Seasonal High Traffic	8	1028,67	Low	Yes	1	33
10142	опхлнпяйн	Supermarket	Seasonal Low/Mid Traffic	3	7485,83	Low	Yes	3	228,334
10143	жюпебн	Cafe	Residential	5	3994	Low	Yes	1	95
10144	онлнпхе	Qsr	Residential	5	19760,14	Medium	Yes	0,7	0
10145	юяоюпсунбн	Hotels	Rural Affordable	7	414,06	Low	No	0	0
10146	якзмвеб апъц	FSR	Residential	5	35032,25	High	Yes	1	0
10147	якзмвеб апъц	Hotels	Seasonal High Traffic	1	30928,4	High	Yes	6	0
10148	онлнпхе	Qsr	Residential	5	16182,93	Medium	Yes	2	280
